branch_id,branch_type,source_circle_id,target_circle_id,source_top_x,source_top_y,target_top_x,target_top_y,source_bottom_x,source_bottom_y,target_bottom_x,target_bottom_y
feed_to_snake_0,feed_to_snake,feed_0,snake_1,0.00000000,49.00000000,45.00000000,44.50000000,0.00000000,41.00000000,45.00000000,42.50000000
feed_to_snake_1,feed_to_snake,feed_1,snake_2,4.00000000,34.00000000,45.00000000,30.00000000,4.00000000,26.00000000,45.00000000,28.00000000
feed_to_snake_2,feed_to_snake,feed_2,snake_3,4.00000000,19.00000000,45.00000000,15.50000000,4.00000000,11.00000000,45.00000000,13.50000000
feed_to_snake_3,feed_to_snake,feed_3,snake_4,4.00000000,4.00000000,45.00000000,1.00000000,4.00000000,-4.00000000,45.00000000,-1.00000000
feed_to_snake_4,feed_to_snake,feed_4,snake_5,4.00000000,-11.00000000,45.00000000,-13.50000000,4.00000000,-19.00000000,45.00000000,-15.50000000
feed_to_snake_5,feed_to_snake,feed_5,snake_6,4.00000000,-26.00000000,45.00000000,-28.00000000,4.00000000,-34.00000000,45.00000000,-30.00000000
feed_to_snake_6,feed_to_snake,feed_6,snake_7,0.00000000,-41.00000000,45.00000000,-42.50000000,0.00000000,-49.00000000,45.00000000,-44.50000000
dump_to_ladder_0,dump_to_ladder,dump_0,ladder_0,22.00000000,56.50000000,45.00000000,51.75000000,22.00000000,48.50000000,45.00000000,49.75000000
dump_to_ladder_1,dump_to_ladder,dump_1,ladder_1,22.00000000,41.50000000,45.00000000,37.25000000,22.00000000,33.50000000,45.00000000,35.25000000
dump_to_ladder_2,dump_to_ladder,dump_2,ladder_2,22.00000000,26.50000000,45.00000000,22.75000000,22.00000000,18.50000000,45.00000000,20.75000000
dump_to_ladder_3,dump_to_ladder,dump_3,ladder_3,22.00000000,11.50000000,45.00000000,8.25000000,22.00000000,3.50000000,45.00000000,6.25000000
dump_to_ladder_4,dump_to_ladder,dump_4,ladder_4,22.00000000,-3.50000000,45.00000000,-6.25000000,22.00000000,-11.50000000,45.00000000,-8.25000000
dump_to_ladder_5,dump_to_ladder,dump_5,ladder_5,22.00000000,-18.50000000,45.00000000,-20.75000000,22.00000000,-26.50000000,45.00000000,-22.75000000
dump_to_ladder_6,dump_to_ladder,dump_6,ladder_6,22.00000000,-33.50000000,45.00000000,-35.25000000,22.00000000,-41.50000000,45.00000000,-37.25000000
dump_to_ladder_7,dump_to_ladder,dump_7,ladder_7,22.00000000,-48.50000000,45.00000000,-49.75000000,22.00000000,-56.50000000,45.00000000,-51.75000000
